State,StateCode,Municipality,MunicipalityCode,Locality,Schools,Students,StudentsFemale,StudentsMale,Teachers
AGUASCALIENTES,1,AGUASCALIENTES,001,AGUASCALIENTES,1015,255156,130040,125116,17715
AGUASCALIENTES,1,AGUASCALIENTES,001,ARDILLAS DE ABAJO (LAS ARDILLAS),1,99,49,50,3
AGUASCALIENTES,1,AGUASCALIENTES,001,ARELLANO,7,1522,703,819,109
AGUASCALIENTES,1,AGUASCALIENTES,001,BAJÍO LOS VÁZQUEZ,2,15,8,7,2
AGUASCALIENTES,1,AGUASCALIENTES,001,BUENAVISTA DE PEÑUELAS,2,208,111,97,20
AGUASCALIENTES,1,AGUASCALIENTES,001,CABECITA 3 MARÍAS (RANCHO NUEVO),2,18,6,12,2
AGUASCALIENTES,1,AGUASCALIENTES,001,CAÑADA GRANDE DE COTORINA,4,359,186,173,16
AGUASCALIENTES,1,AGUASCALIENTES,001,CAÑADA HONDA [ESTACIÓN],1,5,2,3,1
AGUASCALIENTES,1,AGUASCALIENTES,001,CENTRO DE ARRIBA (EL TARAY),4,330,169,161,14
AGUASCALIENTES,1,AGUASCALIENTES,001,CHE GUEVARA [COLONIA],2,11,5,6,2
AGUASCALIENTES,1,AGUASCALIENTES,001,CIENEGUILLA (LA LUMBRERA),4,271,140,131,12
AGUASCALIENTES,1,AGUASCALIENTES,001,COMUNIDAD EL ROCÍO,1,52,25,27,3
AGUASCALIENTES,1,AGUASCALIENTES,001,COTORINA (COYOTES),4,452,220,232,21
AGUASCALIENTES,1,AGUASCALIENTES,001,CUAUHTÉMOC (LAS PALOMAS),2,82,39,43,4
AGUASCALIENTES,1,AGUASCALIENTES,001,CUMBRES III,4,494,231,263,16
AGUASCALIENTES,1,AGUASCALIENTES,001,EJIDO SAN ANTONIO DE LOS PEDROZA,2,27,9,18,3
AGUASCALIENTES,1,AGUASCALIENTES,001,EL CARDÓN,3,33,20,13,3
AGUASCALIENTES,1,AGUASCALIENTES,001,EL CARIÑÁN,2,66,31,35,3
AGUASCALIENTES,1,AGUASCALIENTES,001,EL CEDAZO (CEDAZO DE SAN ANTONIO),2,24,13,11,2
AGUASCALIENTES,1,AGUASCALIENTES,001,EL COLORADO (EL SOYATAL),2,117,57,60,4
AGUASCALIENTES,1,AGUASCALIENTES,001,EL CONEJAL,4,318,168,150,14
AGUASCALIENTES,1,AGUASCALIENTES,001,EL CRUCERO DE CALVILLITO,2,22,6,16,2
AGUASCALIENTES,1,AGUASCALIENTES,001,EL DOMINADO (EL RELICARIO),1,40,20,20,2
AGUASCALIENTES,1,AGUASCALIENTES,001,EL DURAZNILLO,4,142,70,72,8
AGUASCALIENTES,1,AGUASCALIENTES,001,EL GIGANTE (ARELLANO),2,53,27,26,3
AGUASCALIENTES,1,AGUASCALIENTES,001,EL GUARDA,4,148,85,63,9
AGUASCALIENTES,1,AGUASCALIENTES,001,EL HOTELITO,1,34,19,15,1
AGUASCALIENTES,1,AGUASCALIENTES,001,EL JAGÜEY,3,26,13,13,3
AGUASCALIENTES,1,AGUASCALIENTES,001,EL MALACATE,2,50,22,28,3
AGUASCALIENTES,1,AGUASCALIENTES,001,EL NIÁGARA,2,75,35,40,4
AGUASCALIENTES,1,AGUASCALIENTES,001,EL OCOTE,2,33,18,15,2
AGUASCALIENTES,1,AGUASCALIENTES,001,EL REFUGIO DE PEÑUELAS,2,306,153,153,9
AGUASCALIENTES,1,AGUASCALIENTES,001,EL RELICARIO,3,172,84,88,9
AGUASCALIENTES,1,AGUASCALIENTES,001,EL SALTO DE LOS SALADO,4,537,289,248,30
AGUASCALIENTES,1,AGUASCALIENTES,001,EL TANQUE DE LOS JIMÉNEZ,2,96,42,54,4
AGUASCALIENTES,1,AGUASCALIENTES,001,EL TURICATE,3,55,31,24,5
AGUASCALIENTES,1,AGUASCALIENTES,001,GENERAL JOSÉ MARÍA MORELOS Y PAVÓN (CAÑADA HONDA),5,1722,1059,663,131
AGUASCALIENTES,1,AGUASCALIENTES,001,GRANJAS FÁTIMA,2,156,62,94,6
AGUASCALIENTES,1,AGUASCALIENTES,001,HACIENDA NUEVA,7,1588,890,698,127
AGUASCALIENTES,1,AGUASCALIENTES,001,JALTOMATE,5,754,384,370,28
AGUASCALIENTES,1,AGUASCALIENTES,001,LA NUEVA TERESA,2,51,30,21,2
AGUASCALIENTES,1,AGUASCALIENTES,001,LA PROVIDENCIA,2,38,18,20,2
AGUASCALIENTES,1,AGUASCALIENTES,001,LOMAS DE ARELLANO,2,62,27,35,3
AGUASCALIENTES,1,AGUASCALIENTES,001,LOMAS DE NUEVA YORK,1,22,8,14,2
AGUASCALIENTES,1,AGUASCALIENTES,001,LOMAS DEL GACHUPÍN,1,260,105,155,19
AGUASCALIENTES,1,AGUASCALIENTES,001,LOS CAÑOS,4,302,155,147,16
AGUASCALIENTES,1,AGUASCALIENTES,001,LOS CUERVOS (LOS OJOS DE AGUA),4,317,174,143,15
AGUASCALIENTES,1,AGUASCALIENTES,001,LOS DURÓN,3,47,20,27,3
AGUASCALIENTES,1,AGUASCALIENTES,001,LOS NEGRITOS,4,660,335,325,31
AGUASCALIENTES,1,AGUASCALIENTES,001,LOS PARGAS [RANCHO],2,107,45,62,5
AGUASCALIENTES,1,AGUASCALIENTES,001,LOTES DE ARELLANO,1,16,9,7,1
AGUASCALIENTES,1,AGUASCALIENTES,001,MATAMOROS [CONGREGACIÓN],4,154,67,87,9
AGUASCALIENTES,1,AGUASCALIENTES,001,MONTORO,5,492,252,240,19
AGUASCALIENTES,1,AGUASCALIENTES,001,NORIAS DE CEDAZO (CEDAZO NORIAS DE MONTORO),3,51,24,27,3
AGUASCALIENTES,1,AGUASCALIENTES,001,NORIAS DE OJOCALIENTE,7,1304,681,623,44
AGUASCALIENTES,1,AGUASCALIENTES,001,NORIAS DEL PASO HONDO,5,790,397,393,30
AGUASCALIENTES,1,AGUASCALIENTES,001,OJO DE AGUA DE PALMITAS,2,177,82,95,6
AGUASCALIENTES,1,AGUASCALIENTES,001,PEÑUELAS (EL CIENEGAL),5,979,506,473,60
AGUASCALIENTES,1,AGUASCALIENTES,001,POCITOS,6,886,418,468,32
AGUASCALIENTES,1,AGUASCALIENTES,001,PUERTA DE LOS VIEJITOS,2,20,10,10,4
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN ANTONIO DE PEÑUELAS,3,686,329,357,23
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN ANTONIO PRIMERO DE LOS PEDROZA [CONGREGACIÓN],2,22,14,8,2
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN FELIPE [VIÑEDOS],4,332,175,157,14
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN IGNACIO,6,926,452,474,37
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN JOSÉ DE LA ORDEÑA,4,216,110,106,10
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN MIGUEL,1,4,1,3,1
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN NICOLÁS DE ARRIBA,3,49,27,22,5
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN NICOLÁS DE EN MEDIO,2,48,20,28,3
AGUASCALIENTES,1,AGUASCALIENTES,001,SAN PEDRO CIENEGUILLA,3,126,58,68,6
AGUASCALIENTES,1,AGUASCALIENTES,001,SANTA CRUZ DE LA PRESA (LA TLACUACHA),2,52,22,30,3
AGUASCALIENTES,1,AGUASCALIENTES,001,SANTA MARÍA DE GALLARDO,2,212,107,105,8
AGUASCALIENTES,1,AGUASCALIENTES,001,SOLEDAD DE ABAJO,3,66,31,35,4
AGUASCALIENTES,1,AGUASCALIENTES,001,TANQUE EL TRIGO,3,81,36,45,4
AGUASCALIENTES,1,AGUASCALIENTES,001,VENUSTIANO CARRANZA [EJIDO],1,2,1,1,1
AGUASCALIENTES,1,AGUASCALIENTES,001,VILLA LICENCIADO JESÚS TERÁN (CALVILLITO),7,1606,776,830,85
AGUASCALIENTES,1,ASIENTOS,002,AMARILLAS DE ESPARZA,4,268,143,125,12
