State,StateCode,Municipality,MunicipalityCode,Locality,Schools,Students,StudentsFemale,StudentsMale,Teachers
BAJA CALIFORNIA SUR,3,COMONDÚ,001,BENITO JUÁREZ,4,236,133,103,20
BAJA CALIFORNIA SUR,3,COMONDÚ,001,CARAMBUCHE,1,4,1,3,1
BAJA CALIFORNIA SUR,3,COMONDÚ,001,CIUDAD CONSTITUCIÓN,51,11696,5893,5803,801
BAJA CALIFORNIA SUR,3,COMONDÚ,001,CIUDAD INSURGENTES,12,2391,1156,1235,170
BAJA CALIFORNIA SUR,3,COMONDÚ,001,EL CHICHARRÓN,2,7,4,3,1
BAJA CALIFORNIA SUR,3,COMONDÚ,001,EL CINCUENTAIDÓS,3,18,5,13,3
BAJA CALIFORNIA SUR,3,COMONDÚ,001,EL MEZQUITAL,2,8,4,4,1
BAJA CALIFORNIA SUR,3,COMONDÚ,001,EL RANCHITO (ESTERO TLAQUEPAQUE),2,27,13,14,3
BAJA CALIFORNIA SUR,3,COMONDÚ,001,JOSEFA ORTIZ DE DOMÍNGUEZ,2,25,12,13,2
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LA POZA GRANDE,4,105,49,56,11
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LA PRESA DEL HIGUAJIL,1,4,2,2,1
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LA PURÍSIMA,2,41,24,17,3
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LAS BARRANCAS,4,132,66,66,10
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LEY FEDERAL DE AGUAS NÚMERO CINCO,3,33,12,21,4
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LEY FEDERAL DE AGUAS NÚMERO CUATRO,4,114,52,62,17
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LEY FEDERAL DE AGUAS NÚMERO DOS,2,30,15,15,2
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LEY FEDERAL DE AGUAS NÚMERO TRES,2,10,3,7,2
BAJA CALIFORNIA SUR,3,COMONDÚ,001,LEY FEDERAL DE AGUAS NÚMERO UNO,4,118,55,63,13
BAJA CALIFORNIA SUR,3,COMONDÚ,001,MARÍA AUXILIADORA,2,16,8,8,2
BAJA CALIFORNIA SUR,3,COMONDÚ,001,PALO BOLA,4,196,93,103,14
BAJA CALIFORNIA SUR,3,COMONDÚ,001,PUERTO ADOLFO LÓPEZ MATEOS,6,472,243,229,31
